NTAX,STRHT,SRATE,NCHR,REPL,MTHD,NODE,real,user,sys
model,100,2000000,0.000001,10000,16,paup-dollo-hsearch,cbcb17,3m20.467s,3m18.674s,0m0.008s
model,100,2000000,0.000001,10000,17,dollo-cdp-fast,cbcb03,0m1.995s,0m0.664s,0m0.007s
model,100,2000000,0.000001,10000,17,paup-dollo-fast-hsearch,cbcb03,0m9.294s,0m8.499s,0m0.006s
model,100,2000000,0.000001,10000,17,paup-dollo-hsearch,cbcb21,4m10.868s,4m8.804s,0m0.008s
model,100,2000000,0.000001,10000,18,dollo-cdp-fast,cbcb03,0m2.038s,0m0.735s,0m0.006s
model,100,2000000,0.000001,10000,18,paup-dollo-fast-hsearch,cbcb03,0m11.618s,0m10.807s,0m0.009s
model,100,2000000,0.000001,10000,18,paup-dollo-hsearch,cbcb21,5m44.620s,5m43.033s,0m0.007s
model,100,2000000,0.000001,10000,19,dollo-cdp-fast,cbcb03,0m1.945s,0m0.814s,0m0.008s
model,100,2000000,0.000001,10000,19,paup-dollo-fast-hsearch,cbcb03,0m10.858s,0m10.014s,0m0.013s
model,100,2000000,0.000001,10000,19,paup-dollo-hsearch,cbcb17,5m47.707s,5m45.362s,0m0.004s
model,100,2000000,0.000001,1000,01,dollo-cdp-fast,cbcb17,0m1.266s,0m0.049s,0m0.000s
model,100,2000000,0.000001,1000,01,paup-dollo-fast-hsearch,cbcb17,0m36.074s,0m35.191s,0m0.006s
model,100,2000000,0.000001,1000,01,paup-dollo-hsearch,cbcb15,0m35.473s,0m34.558s,0m0.005s
model,100,2000000,0.000001,10000,20,dollo-cdp-fast,cbcb03,0m1.968s,0m0.628s,0m0.008s
model,100,2000000,0.000001,10000,20,paup-dollo-fast-hsearch,cbcb03,0m12.001s,0m11.208s,0m0.006s
model,100,2000000,0.000001,10000,20,paup-dollo-hsearch,cbcb17,4m31.662s,4m29.628s,0m0.005s
model,100,2000000,0.000001,10000,21,dollo-cdp-fast,cbcb03,0m1.918s,0m0.658s,0m0.007s
model,100,2000000,0.000001,10000,21,paup-dollo-fast-hsearch,cbcb03,0m12.813s,0m11.958s,0m0.014s
model,100,2000000,0.000001,10000,21,paup-dollo-hsearch,cbcb21,6m22.277s,6m20.494s,0m0.006s
model,100,2000000,0.000001,10000,22,dollo-cdp-fast,cbcb03,0m2.028s,0m0.761s,0m0.006s
model,100,2000000,0.000001,10000,22,paup-dollo-fast-hsearch,cbcb03,0m12.477s,0m11.672s,0m0.007s
model,100,2000000,0.000001,10000,22,paup-dollo-hsearch,cbcb15,6m8.409s,6m6.053s,0m0.009s
model,100,2000000,0.000001,10000,23,dollo-cdp-fast,cbcb03,0m1.980s,0m0.756s,0m0.009s
model,100,2000000,0.000001,10000,23,paup-dollo-fast-hsearch,cbcb03,0m14.334s,0m13.513s,0m0.009s
model,100,2000000,0.000001,10000,23,paup-dollo-hsearch,cbcb04,11m59.989s,11m56.719s,0m0.005s
model,100,2000000,0.000001,10000,24,dollo-cdp-fast,cbcb03,0m1.776s,0m0.509s,0m0.010s
model,100,2000000,0.000001,10000,24,paup-dollo-fast-hsearch,cbcb03,0m16.312s,0m15.507s,0m0.011s
model,100,2000000,0.000001,10000,24,paup-dollo-hsearch,cbcb04,5m41.155s,5m38.927s,0m0.005s
model,100,2000000,0.000001,10000,25,dollo-cdp-fast,cbcb03,0m2.149s,0m0.828s,0m0.010s
model,100,2000000,0.000001,10000,25,paup-dollo-fast-hsearch,cbcb03,0m12.232s,0m11.448s,0m0.006s
model,100,2000000,0.000001,10000,25,paup-dollo-hsearch,cbcb00,6m12.714s,6m10.314s,0m0.006s
model,100,2000000,0.000001,1000,02,dollo-cdp-fast,cbcb20,0m1.272s,0m0.043s,0m0.003s
model,100,2000000,0.000001,1000,02,paup-dollo-fast-hsearch,cbcb20,0m36.221s,0m35.346s,0m0.007s
model,100,2000000,0.000001,1000,02,paup-dollo-hsearch,cbcb00,0m35.416s,0m34.473s,0m0.006s
model,100,2000000,0.000001,1000,03,dollo-cdp-fast,cbcb19,0m1.268s,0m0.058s,0m0.002s
model,100,2000000,0.000001,1000,03,paup-dollo-fast-hsearch,cbcb19,0m8.719s,0m7.966s,0m0.005s
model,100,2000000,0.000001,1000,03,paup-dollo-hsearch,cbcb00,1m59.120s,1m57.846s,0m0.005s
model,100,2000000,0.000001,1000,04,dollo-cdp-fast,cbcb01,0m1.288s,0m0.053s,0m0.001s
model,100,2000000,0.000001,1000,04,paup-dollo-fast-hsearch,cbcb01,0m35.152s,0m34.272s,0m0.005s
model,100,2000000,0.000001,1000,04,paup-dollo-hsearch,cbcb00,1m52.585s,1m51.369s,0m0.006s
model,100,2000000,0.000001,1000,05,dollo-cdp-fast,cbcb01,0m1.247s,0m0.050s,0m0.001s
model,100,2000000,0.000001,1000,05,paup-dollo-fast-hsearch,cbcb01,0m7.963s,0m7.192s,0m0.004s
model,100,2000000,0.000001,1000,05,paup-dollo-hsearch,cbcb00,1m9.563s,1m8.471s,0m0.002s
model,100,2000000,0.000001,1000,06,dollo-cdp-fast,cbcb01,0m1.380s,0m0.064s,0m0.000s
model,100,2000000,0.000001,1000,06,paup-dollo-fast-hsearch,cbcb01,0m3.871s,0m3.115s,0m0.007s
model,100,2000000,0.000001,1000,06,paup-dollo-hsearch,cbcb20,1m6.677s,1m6.183s,0m0.005s
model,100,2000000,0.000001,1000,07,dollo-cdp-fast,cbcb01,0m1.308s,0m0.054s,0m0.002s
model,100,2000000,0.000001,1000,07,paup-dollo-fast-hsearch,cbcb01,0m28.905s,0m28.050s,0m0.005s
model,100,2000000,0.000001,1000,07,paup-dollo-hsearch,cbcb20,1m47.900s,1m46.663s,0m0.006s
model,100,2000000,0.000001,1000,08,dollo-cdp-fast,cbcb19,0m1.244s,0m0.053s,0m0.002s
model,100,2000000,0.000001,1000,08,paup-dollo-fast-hsearch,cbcb19,0m6.589s,0m5.824s,0m0.006s
model,100,2000000,0.000001,1000,08,paup-dollo-hsearch,cbcb20,1m15.645s,1m14.568s,0m0.005s
model,100,2000000,0.000001,1000,09,dollo-cdp-fast,cbcb01,0m1.166s,0m0.047s,0m0.002s
