MODL,NCHR,REPL,MTHD,DOLLO
Palaeognathae,10000,Rep9,paup-dollo-bnb-first,12479
Palaeognathae,10000,Rep9,paup-dollo-fast-hsearch-first,12479
Palaeognathae,10000,Rep9,paup-dollo-hsearch-first,12479
Palaeognathae,1000,Rep10,dollo-cdp-fast,1204
Palaeognathae,1000,Rep10,paup-dollo-bnb-first,1204
Palaeognathae,1000,Rep10,paup-dollo-fast-hsearch-first,1204
Palaeognathae,1000,Rep10,paup-dollo-hsearch-first,1204
Palaeognathae,1000,Rep11,dollo-cdp-fast,1239
Palaeognathae,1000,Rep11,paup-dollo-bnb-first,1239
Palaeognathae,1000,Rep11,paup-dollo-fast-hsearch-first,1239
Palaeognathae,1000,Rep11,paup-dollo-hsearch-first,1239
Palaeognathae,1000,Rep12,dollo-cdp-fast,1271
Palaeognathae,1000,Rep12,paup-dollo-bnb-first,1271
Palaeognathae,1000,Rep12,paup-dollo-fast-hsearch-first,1271
Palaeognathae,1000,Rep12,paup-dollo-hsearch-first,1271
Palaeognathae,1000,Rep13,dollo-cdp-fast,1278
Palaeognathae,1000,Rep13,paup-dollo-bnb-first,1278
Palaeognathae,1000,Rep13,paup-dollo-fast-hsearch-first,1278
Palaeognathae,1000,Rep13,paup-dollo-hsearch-first,1278
Palaeognathae,1000,Rep14,dollo-cdp-fast,1230
Palaeognathae,1000,Rep14,paup-dollo-bnb-first,1230
Palaeognathae,1000,Rep14,paup-dollo-fast-hsearch-first,1230
Palaeognathae,1000,Rep14,paup-dollo-hsearch-first,1230
Palaeognathae,1000,Rep15,dollo-cdp-fast,1213
Palaeognathae,1000,Rep15,paup-dollo-bnb-first,1213
Palaeognathae,1000,Rep15,paup-dollo-fast-hsearch-first,1213
Palaeognathae,1000,Rep15,paup-dollo-hsearch-first,1213
Palaeognathae,1000,Rep16,dollo-cdp-fast,1249
Palaeognathae,1000,Rep16,paup-dollo-bnb-first,1249
Palaeognathae,1000,Rep16,paup-dollo-fast-hsearch-first,1249
Palaeognathae,1000,Rep16,paup-dollo-hsearch-first,1249
Palaeognathae,1000,Rep17,dollo-cdp-fast,1259
Palaeognathae,1000,Rep17,paup-dollo-bnb-first,1259
Palaeognathae,1000,Rep17,paup-dollo-fast-hsearch-first,1259
Palaeognathae,1000,Rep17,paup-dollo-hsearch-first,1259
Palaeognathae,1000,Rep18,dollo-cdp-fast,1234
Palaeognathae,1000,Rep18,paup-dollo-bnb-first,1234
Palaeognathae,1000,Rep18,paup-dollo-fast-hsearch-first,1234
Palaeognathae,1000,Rep18,paup-dollo-hsearch-first,1234
Palaeognathae,1000,Rep19,dollo-cdp-fast,1282
Palaeognathae,1000,Rep19,paup-dollo-bnb-first,1282
